ㄱㅏ	0.07115897850278743	0.1267493137755472
ㄱㅓ	0.0807585265734924	0.1101837475988374
ㄱㅗ	0.018575671954222783	0.5285182102957962
ㄱㅜ	0.004771561134026755	0.6123429791652273
ㄱㅡ	0.07556203910410102	0.11866520920119093
ㄱㅣ	0.015664391016363466	0.5247686887084883
ㄱㅔ/ㅐ	0.003296168111973235	0.5928216210238512
ㄱㅢ	0.036941493838002284	0.6226194663576916
ㄱㅝ	0.01643021300774062	0.9100817438693052
ㄱㅘ	NaN	1.0
ㄱㅚ/ㅞ/ㅙ	0.021362762729321152	0.463574937569814
ㄱㅟ	0.06927462364826108	0.19406503965079622
ㄱㅖ/ㅒ	NaN	1.0
ㄱㅑ	NaN	1.0
ㄱㅛ	NaN	1.0
ㄱㅠ	NaN	1.0
ㄱㅕ	0.036941493838002284	0.6226194663576916
ㄴㅏ	0.06871030500739655	0.13393387271124632
ㄴㅓ	0.024686087276755784	0.4495312420052682
ㄴㅗ	0.17648870002568667	0.003502673216982639
ㄴㅜ	0.016286990157747944	0.5196106114019964
ㄴㅡ	0.005018155446422488	0.5504687579960428
ㄴㅣ	0.11546205258691337	0.01241157552191311
ㄴㅔ/ㅐ	0.01865410667985026	0.47088691666782967
ㄴㅢ	0.039352706724392915	0.5860045815648045
ㄴㅝ	0.017502631505599327	0.899182561307927
ㄴㅘ	NaN	1.0
ㄴㅚ/ㅞ/ㅙ	0.07379625631349768	0.15731751376470693
ㄴㅟ	0.012318929909248419	0.5275464475159322
ㄴㅖ/ㅒ	NaN	1.0
ㄴㅑ	NaN	1.0
ㄴㅛ	NaN	1.0
ㄴㅠ	NaN	1.0
ㄴㅕ	0.039352706724392915	0.5860045815648045
ㄷㅏ	0.020858015909697127	0.41100571066031405
ㄷㅓ	0.02743561030235163	0.4265768423553633
ㄷㅗ	0.030293212254582244	0.42698950429405363
ㄷㅜ	0.011449493505456317	0.5029284873011963
ㄷㅡ	0.08998560230363141	0.08093927044217203
ㄷㅣ	0.11718964293021779	0.01094475296023302
ㄷㅔ/ㅐ	0.027114214292790418	0.37357167370040234
ㄷㅢ	0.03994151797966465	0.5771257242683933
ㄷㅝ	0.017764513019863315	0.8964577656676016
ㄷㅘ	NaN	1.0
ㄷㅚ/ㅞ/ㅙ	0.13785852403734122	0.022320294980531553
ㄷㅟ	0.07490042601187757	0.1492132782072382
ㄷㅖ/ㅒ	NaN	1.0
ㄷㅑ	NaN	1.0
ㄷㅛ	NaN	1.0
ㄷㅠ	NaN	1.0
ㄷㅕ	0.03994151797966465	0.5771257242683933
ㄹㅏ	0.16286558549611407	0.012971691618974638
ㄹㅓ	0.030853453654194524	0.7197430504860792
ㄹㅗ	0.02609090251427747	0.7876010478191909
ㄹㅜ	0.02947643220620575	0.7396734039019973
ㄹㅡ	0.030853453654194524	0.7197430504860792
ㄹㅣ	0.03130439516736308	0.713180043946728
ㄹㅔ/ㅐ	0.03892839662517788	0.6017704746701446
ㄹㅢ	0.010669416094767821	0.9595735294032454
ㄹㅝ	0.004745362487883931	0.9918256130789842
ㄹㅘ	NaN	1.0
ㄹㅚ/ㅞ/ㅙ	0.020007847753882556	0.867027158006983
ㄹㅟ	0.020007847753882556	0.867027158006983
ㄹㅖ/ㅒ	NaN	1.0
ㄹㅑ	NaN	1.0
ㄹㅛ	NaN	1.0
ㄹㅠ	NaN	1.0
ㄹㅕ	0.010669416094767821	0.9595735294032454
ㅁㅏ	0.008050327128678878	0.5219388376966888
ㅁㅓ	0.05480653722301032	0.22804225497407465
ㅁㅗ	0.0070139092729149324	0.5638477980091144
ㅁㅜ	0.026686078697789394	0.4065248054160331
ㅁㅡ	0.08989849271112485	0.06625174478164295
ㅁㅣ	0.01968473004124544	0.5190805843154286
ㅁㅔ/ㅐ	0.03872094295301459	0.30983786744114955
ㅁㅢ	0.03108774906620688	0.7117134898605868
ㅁㅝ	0.1976063500524628	0.06539509536785613
ㅁㅘ	NaN	1.0
ㅁㅚ/ㅞ/ㅙ	0.05829737492688041	0.30835715650216566
ㅁㅟ	0.05829737492688041	0.30835715650216566
ㅁㅖ/ㅒ	NaN	1.0
ㅁㅑ	NaN	1.0
ㅁㅛ	NaN	1.0
ㅁㅠ	NaN	1.0
ㅁㅕ	0.06398895016127584	0.2882865101398829
ㅂㅏ	0.14413362432524052	0.0015836106463976128
ㅂㅓ	0.014076515053570063	0.5667030101400572
ㅂㅗ	0.09508351051068184	0.08710855539078863
ㅂㅜ	0.030870631079943648	0.3788319537627193
ㅂㅡ	0.08787767254871595	0.07447908563685834
ㅂㅣ	0.16619727871288462	0.006085419986482442
ㅂㅔ/ㅐ	0.04431695095784805	0.2766096745927692
ㅂㅢ	0.03038893034052735	0.7222107389733055
ㅂㅝ	0.013515874608693326	0.9373297002727595
ㅂㅘ	NaN	1.0
ㅂㅚ/ㅞ/ㅙ	0.049991077536139295	0.2889178632375716
ㅂㅟ	0.05698691345956403	0.3243879566872955
ㅂㅖ/ㅒ	NaN	1.0
ㅂㅑ	NaN	1.0
ㅂㅛ	NaN	1.0
ㅂㅠ	NaN	1.0
ㅂㅕ	0.03038893034052735	0.7222107389733055
ㅅㅏ	0.002612580234964002	0.5815419304065348
ㅅㅓ	0.02917484239534047	0.3776000133348487
ㅅㅗ	0.08574816668360022	0.08336034495768387
ㅅㅜ	0.09687476394012995	0.04331351890335625
ㅅㅡ	0.0361127622332568	0.37695322528357567
ㅅㅣ	0.05847589022453903	0.20134834957604844
ㅅㅔ/ㅐ	0.06426866981237406	0.16488113965530604
